id,title,description,availability,condition,price,link,mobile_link,image_link,additional_image_link,brand,gtin,mpn,google_product_category,product_type,inventory,sale_price,sale_price_effective_date,item_group_id,gender,color,size,age_group,popularity_rank,product_rating
WC806W,Women's 806,For the ultimate in on-court stability and support  the New Balance 806 delivers. With C-CAP&reg;  ABZORB&reg; and our exclusive ROLLBAR technology  this heritage tennis shoe offers unrivaled motion control. Now made even lighter  it's as stylish as ever.,in stock,new,119.99 USD,https://www.newbalance.com/pd/806/WC806V1-7800.html?dwvar_WC806V1-7800_style=WC806W,,https://nb.scene7.com/is/image/NB/wc806w_nb_02_i?$social1080$&wid=600&hei=600,https://nb.scene7.com/is/image/NB/wc806w_nb_03_i?$social1080$&wid=600&hei=600,New Balance,886863693654,WC806W,Apparel & Accessories > Shoes,Women > Shoes > Tennis,4,,,WC806V1-7800,female,white,,adult,5,
TMMT500WT,Men's Short Sleeve Tech Tee,The essential tee  but way better. Made of soft  sweat-wicking  odor-resistant performance fabric  this men's short-sleeve shirt helps you stay fresh on the mound or the street.,in stock,new,24.99 USD,https://www.newbalance.com/pd/short-sleeve-tech-tee/TMMT500.html?dwvar_TMMT500_style=TMMT500WT,,https://nb.scene7.com/is/image/NB/tmmt500wt_nb_40_i?$social1080$&wid=600&hei=600,https://nb.scene7.com/is/image/NB/tmmt500wt_nb_41_i?$social1080$&wid=600&hei=600,New Balance,739980311645,TMMT500WT,Apparel & Accessories > Clothing > Shirts & Tops,Men > Clothing > Shirts,34,,,TMMT500,male,white,,adult,5,
TMMT502ALY,Men's  Fleece Hoody,Hit the field in the early morning dew with the warmth of premium brushed interior fleece  kangaroo hand pocket and three-piece hood construction of the men's Baseball Sweatshirt.,in stock,new,ten dollars,https://www.newbalance.com/pd/nb-fleece-hoody/TMMT502.html?dwvar_TMMT502_style=TMMT502ALY,,https://nb.scene7.com/is/image/NB/tmmt502aly_nb_40_i?$social1080$&wid=600&hei=600,https://nb.scene7.com/is/image/NB/tmmt502aly_nb_41_i?$social1080$&wid=600&hei=600,New Balance,889516456156,TMMT502ALY,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,Men > Clothing > Hoodies & Sweatshirts,4,,,TMMT502,male,grey,,adult,5,
TMMT500TMO,Men's Short Sleeve Tech Tee,The essential tee  but way better. Made of soft  sweat-wicking  odor-resistant performance fabric  this men's short-sleeve shirt helps you stay fresh on the mound or the street.,in stock,new,24.99 USD,https://www.newbalance.com/pd/short-sleeve-tech-tee/TMMT500.html?dwvar_TMMT500_style=TMMT500TMO,,https://nb.scene7.com/is/image/NB/tmmt500tmo_nb_40_i?$social1080$&wid=600&hei=600,https://nb.scene7.com/is/image/NB/tmmt500tmo_nb_41_i?$social1080$&wid=600&hei=600,New Balance,739980311362,TMMT500TMO,Apparel & Accessories > Clothing > Shirts & Tops,Men > Clothing > Shirts,6,,,TMMT500,male,orange,,adult,5,
TMMT500TRE,Men's Short Sleeve Tech Tee,The essential tee  but way better. Made of soft  sweat-wicking  odor-resistant performance fabric  this men's short-sleeve shirt helps you stay fresh on the mound or the street.,in stock,new,24.99 USD,https://www.newbalance.com/pd/short-sleeve-tech-tee/TMMT500.html?dwvar_TMMT500_style=TMMT500TRE,,https://nb.scene7.com/is/image/NB/tmmt500tre_nb_40_i?$social1080$&wid=600&hei=600,https://nb.scene7.com/is/image/NB/tmmt500tre_nb_41_i?$social1080$&wid=600&hei=600,New Balance,739980311508,TMMT500TRE,Apparel & Accessories > Clothing > Shirts & Tops,Men > Clothing > Shirts,22,,,TMMT500,male,red,,adult,5,
TMMP502BKH,Men's  Fleece Pant,Warm up or just chill out in the men's NB Sweatpant. Made with premium fleece  it's a comfortable choice when your training takes you outside during the cooler months.,in stock,new,49.99 USD,https://www.newbalance.com/pd/nb-fleece-pant/TMMP502.html?dwvar_TMMP502_style=TMMP502BKH,,https://nb.scene7.com/is/image/NB/tmmp502bkh_nb_40_i?$social1080$&wid=600&hei=600,https://nb.scene7.com/is/image/NB/tmmp502bkh_nb_41_i?$social1080$&wid=600&hei=600,New Balance,889516455951,TMMP502BKH,Apparel & Accessories > Clothing > Pants,Men > Clothing > Pants,2,,,TMMP502,male,black,,adult,5,
TMMT500CB,,The essential tee  but way better. Made of soft  sweat-wicking  odor-resistant performance fabric  this men's short-sleeve shirt helps you stay fresh on the mound or the street.,in stock,new,24.99 USD,https://www.newbalance.com/pd/short-sleeve-tech-tee/TMMT500.html?dwvar_TMMT500_style=TMMT500CB,,https://nb.scene7.com/is/image/NB/tmmt500cb_nb_40_i?$social1080$&wid=600&hei=600,https://nb.scene7.com/is/image/NB/tmmt500cb_nb_41_i?$social1080$&wid=600&hei=600,New Balance,888546670808,TMMT500CB,Apparel & Accessories > Clothing > Shirts & Tops,Men > Clothing > Shirts,1,,,TMMT500,male,blue,,adult,5,
TMMP502ALY,Men's  Fleece Pant,Warm up or just chill out in the men's NB Sweatpant. Made with premium fleece  it's a comfortable choice when your training takes you outside during the cooler months.,in stock,new,49.99 USD,https://www.newbalance.com/pd/nb-fleece-pant/TMMP502.html?dwvar_TMMP502_style=TMMP502ALY,,https://nb.scene7.com/is/image/NB/tmmp502aly_nb_40_i?$social1080$&wid=600&hei=600,https://nb.scene7.com/is/image/NB/tmmp502aly_nb_41_i?$social1080$&wid=600&hei=600,New Balance,889516455944,TMMP502ALY,Apparel & Accessories > Clothing > Pants,Men > Clothing > Pants,3,,,TMMP502,male,grey,,adult,5,
TMMT501TBK,Men's Long Sleeve Tech Tee,The essential tee  but way better. Made of soft  sweat-wicking  odor-resistant performance fabric  this men's long-sleeve shirt helps you stay fresh on the mound or the street.,in stock,new,29.99 USD,https://www.newbalance.com/pd/long-sleeve-tech-tee/TMMT501.html?dwvar_TMMT501_style=TMMT501TBK,,https://nb.scene7.com/is/image/NB/tmmt501tbk_nb_40_i?$social1080$&wid=600&hei=600,https://nb.scene7.com/is/image/NB/tmmt501tbk_nb_41_i?$social1080$&wid=600&hei=600,New Balance,739980311799,TMMT501TBK,Apparel & Accessories > Clothing > Shirts & Tops,Men > Clothing > Shirts,46,,,TMMT501,male,black,,adult,5,
TMMT501TNV,Men's Long Sleeve Tech Tee,The essential tee  but way better. Made of soft  sweat-wicking  odor-resistant performance fabric  this men's long-sleeve shirt helps you stay fresh on the mound or the street.,in stock,new,29.99 USD,https://www.newbalance.com/pd/long-sleeve-tech-tee/TMMT501.html?dwvar_TMMT501_style=TMMT501TNV,,https://nb.scene7.com/is/image/NB/tmmt501tnv_nb_40_i?$social1080$&wid=600&hei=600,https://nb.scene7.com/is/image/NB/tmmt501tnv_nb_41_i?$social1080$&wid=600&hei=600,New Balance,739980311850,TMMT501TNV,Apparel & Accessories > Clothing > Shirts & Tops,Men > Clothing > Shirts,16,,,TMMT501,male,blue,,adult,5,
